"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.095817869E1,-4.324316978E0,-5.051359177E0,9.000399709E-2,6.650116358E0
1.096211860E1,-4.324316978E0,-5.051359177E0,9.000399709E-2,6.650116358E0
1.096605776E1,-4.324316978E0,-5.051359177E0,9.000399709E-2,6.650116358E0
1.096999714E1,-3.166654110E0,-4.293035030E0,3.863157034E0,6.586488464E0
1.097393707E1,-3.166654110E0,-4.293035030E0,3.863157034E0,6.586488464E0
1.097787615E1,-3.166654110E0,-4.293035030E0,3.863157034E0,6.586488464E0
1.098181530E1,-3.166654110E0,-4.293035030E0,3.863157034E0,6.586488464E0
1.098575438E1,-3.166654110E0,-4.293035030E0,3.863157034E0,6.586488464E0
1.098969338E1,1.130437970E0,-2.711566925E0,1.176096916E1,1.212232984E1
1.099363276E1,1.130437970E0,-2.711566925E0,1.176096916E1,1.212232984E1
1.099757285E1,1.130437970E0,-2.711566925E0,1.176096916E1,1.212232984E1
1.100151308E1,1.130437970E0,-2.711566925E0,1.176096916E1,1.212232984E1
1.100545339E1,1.130437970E0,-2.711566925E0,1.176096916E1,1.212232984E1
1.100939285E1,9.722366333E0,-3.851430118E-1,5.675981998E0,1.126452457E1
1.101333255E1,9.722366333E0,-3.851430118E-1,5.675981998E0,1.126452457E1
1.101727124E1,9.722366333E0,-3.851430118E-1,5.675981998E0,1.126452457E1
1.102121093E1,9.722366333E0,-3.851430118E-1,5.675981998E0,1.126452457E1
1.102515093E1,9.722366333E0,-3.851430118E-1,5.675981998E0,1.126452457E1
1.102909093E1,1.540137196E1,1.802549958E0,-3.761305094E0,1.595615431E1
1.103303101E1,1.540137196E1,1.802549958E0,-3.761305094E0,1.595615431E1
1.103697124E1,1.540137196E1,1.802549958E0,-3.761305094E0,1.595615431E1
1.104091155E1,1.540137196E1,1.802549958E0,-3.761305094E0,1.595615431E1
1.104485222E1,1.540137196E1,1.802549958E0,-3.761305094E0,1.595615431E1
1.104879191E1,2.168304634E1,6.186209202E0,1.642441034E0,2.260799185E1
1.105273130E1,2.168304634E1,6.186209202E0,1.642441034E0,2.260799185E1
1.105667098E1,2.168304634E1,6.186209202E0,1.642441034E0,2.260799185E1
1.106061068E1,2.168304634E1,6.186209202E0,1.642441034E0,2.260799185E1
1.106455006E1,2.168304634E1,6.186209202E0,1.642441034E0,2.260799185E1
