"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.220490830E-1,-5.311999936E-3,-5.760999862E-3,-1.918109953E-1,1.919709988E-1
7.259931170E-1,-5.311999936E-3,-5.760999862E-3,-1.918109953E-1,1.919709988E-1
7.299375010E-1,-5.311999936E-3,-5.760999862E-3,-1.918109953E-1,1.919709988E-1
7.338820400E-1,-5.311999936E-3,-5.760999862E-3,-1.918109953E-1,1.919709988E-1
7.378264240E-1,-1.991100051E-2,-4.465400055E-2,-2.062440068E-1,2.119599444E-1
7.417706550E-1,-1.991100051E-2,-4.465400055E-2,-2.062440068E-1,2.119599444E-1
7.457146550E-1,-1.991100051E-2,-4.465400055E-2,-2.062440068E-1,2.119599444E-1
7.496866930E-1,-1.991100051E-2,-4.465400055E-2,-2.062440068E-1,2.119599444E-1
7.536587140E-1,-1.991100051E-2,-4.465400055E-2,-2.062440068E-1,2.119599444E-1
7.575464060E-1,7.466000319E-2,-8.344700187E-2,-1.639400050E-2,1.131648419E-1
7.614904060E-1,7.466000319E-2,-8.344700187E-2,-1.639400050E-2,1.131648419E-1
7.654340060E-1,7.466000319E-2,-8.344700187E-2,-1.639400050E-2,1.131648419E-1
7.693773910E-1,7.466000319E-2,-8.344700187E-2,-1.639400050E-2,1.131648419E-1
7.733211600E-1,7.466000319E-2,-8.344700187E-2,-1.639400050E-2,1.131648419E-1
7.772648420E-1,-7.745000068E-3,-9.494499862E-2,-2.079260051E-1,2.287089010E-1
7.812091500E-1,-7.745000068E-3,-9.494499862E-2,-2.079260051E-1,2.287089010E-1
7.851525340E-1,-7.745000068E-3,-9.494499862E-2,-2.079260051E-1,2.287089010E-1
7.890961460E-1,-7.745000068E-3,-9.494499862E-2,-2.079260051E-1,2.287089010E-1
7.930398380E-1,-7.745000068E-3,-9.494499862E-2,-2.079260051E-1,2.287089010E-1
7.969841460E-1,-7.745000068E-3,-9.494499862E-2,-2.079260051E-1,2.287089010E-1
8.009279100E-1,4.622799903E-2,-1.202789992E-1,-2.359180003E-1,2.688147474E-1
8.048724490E-1,4.622799903E-2,-1.202789992E-1,-2.359180003E-1,2.688147474E-1
8.088170640E-1,4.622799903E-2,-1.202789992E-1,-2.359180003E-1,2.688147474E-1
8.127611600E-1,4.622799903E-2,-1.202789992E-1,-2.359180003E-1,2.688147474E-1
8.167057750E-1,4.622799903E-2,-1.202789992E-1,-2.359180003E-1,2.688147474E-1
8.206506210E-1,1.682710052E-1,-1.456090063E-1,-1.413329989E-1,2.636136007E-1
8.245946020E-1,1.682710052E-1,-1.456090063E-1,-1.413329989E-1,2.636136007E-1
8.285383720E-1,1.682710052E-1,-1.456090063E-1,-1.413329989E-1,2.636136007E-1
8.324826790E-1,1.682710052E-1,-1.456090063E-1,-1.413329989E-1,2.636136007E-1
8.364273000E-1,1.682710052E-1,-1.456090063E-1,-1.413329989E-1,2.636136007E-1
8.403718380E-1,7.246399671E-2,-1.166739985E-1,-1.692440063E-1,2.179618921E-1
8.443159150E-1,7.246399671E-2,-1.166739985E-1,-1.692440063E-1,2.179618921E-1
8.482598330E-1,7.246399671E-2,-1.166739985E-1,-1.692440063E-1,2.179618921E-1
8.522042180E-1,7.246399671E-2,-1.166739985E-1,-1.692440063E-1,2.179618921E-1
8.561488330E-1,7.246399671E-2,-1.166739985E-1,-1.692440063E-1,2.179618921E-1
8.600934490E-1,-2.307399921E-2,-7.433400303E-2,-1.698109955E-1,1.867986285E-1
8.640376790E-1,-2.307399921E-2,-7.433400303E-2,-1.698109955E-1,1.867986285E-1
8.679822950E-1,-2.307399921E-2,-7.433400303E-2,-1.698109955E-1,1.867986285E-1
8.719263560E-1,-2.307399921E-2,-7.433400303E-2,-1.698109955E-1,1.867986285E-1
8.758708940E-1,-2.307399921E-2,-7.433400303E-2,-1.698109955E-1,1.867986285E-1
8.798152790E-1,-2.305799909E-2,-7.296399772E-2,-1.430799961E-1,1.622568999E-1
8.837595010E-1,-2.305799909E-2,-7.296399772E-2,-1.430799961E-1,1.622568999E-1
8.877038850E-1,-2.305799909E-2,-7.296399772E-2,-1.430799961E-1,1.622568999E-1
8.916484240E-1,-2.305799909E-2,-7.296399772E-2,-1.430799961E-1,1.622568999E-1
